iter	Passed	Remaining
418	2639	6810
419	2647	6808
420	2652	6799
421	2658	6790
422	2663	6782
423	2668	6772
424	2674	6763
425	2679	6755
426	2684	6746
427	2690	6737
428	2695	6728
429	2701	6722
430	2707	6714
431	2712	6705
432	2718	6699
433	2724	6691
434	2729	6682
435	2734	6674
436	2739	6664
437	2744	6654
438	2749	6645
439	2755	6637
440	2760	6628
441	2765	6619
442	2770	6610
443	2776	6602
444	2781	6594
445	2786	6585
446	2792	6578
447	2797	6570
448	2803	6562
449	2808	6553
450	2814	6545
451	2819	6537
452	2824	6529
453	2830	6521
454	2836	6513
455	2841	6506
456	2847	6498
457	2852	6490
458	2858	6483
459	2863	6474
460	2869	6466
461	2875	6459
462	2881	6452
463	2886	6445
464	2892	6437
465	2898	6430
466	2903	6422
467	2909	6415
468	2915	6408
469	2920	6401
470	2926	6392
471	2931	6384
472	2937	6377
473	2942	6370
474	2948	6362
475	2954	6354
476	2959	6347
477	2965	6339
478	2970	6331
479	2976	6324
480	2981	6317
481	2987	6310
482	2993	6303
483	2999	6295
484	3004	6287
485	3009	6279
486	3015	6271
487	3021	6264
488	3026	6257
489	3032	6250
490	3037	6242
491	3043	6234
492	3048	6227
493	3054	6219
494	3059	6212
495	3065	6204
496	3070	6196
497	3076	6189
498	3081	6181
499	3087	6174
500	3092	6167
501	3098	6159
502	3103	6152
503	3109	6145
504	3115	6138
505	3121	6131
506	3127	6124
507	3132	6117
508	3138	6109
509	3143	6101
510	3148	6094
511	3154	6086
512	3159	6078
513	3165	6071
514	3171	6065
515	3176	6057
516	3181	6049
517	3187	6043
518	3193	6035
519	3198	6028
520	3204	6020
521	3209	6013
522	3215	6006
523	3220	5998
524	3226	5991
525	3231	5984
526	3237	5976
527	3242	5969
528	3247	5961
529	3253	5954
530	3259	5947
531	3264	5940
532	3270	5933
533	3285	5943
534	3291	5936
535	3297	5931
536	3303	5924
537	3309	5917
538	3314	5909
539	3320	5902
540	3325	5894
541	3331	5888
542	3336	5880
543	3338	5867
544	3344	5859
545	3349	5852
546	3355	5845
547	3360	5838
548	3366	5831
549	3371	5824
550	3377	5816
551	3383	5810
552	3388	5802
553	3394	5795
554	3408	5804
555	3414	5797
556	3419	5789
557	3435	5799
558	3441	5792
559	3446	5785
560	3452	5779
561	3458	5772
562	3464	5765
563	3469	5758
564	3475	5751
565	3481	5744
566	3487	5738
567	3492	5730
568	3498	5723
569	3503	5716
570	3509	5709
571	3514	5702
572	3520	5695
573	3525	5687
574	3531	5681
575	3537	5674
576	3542	5666
577	3547	5659
578	3553	5652
579	3558	5644
580	3564	5638
581	3569	5630
582	3575	5623
583	3580	5616
584	3598	5628
585	3604	5621
586	3610	5615
587	3615	5607
588	3620	5600
589	3626	5593
590	3631	5585
591	3637	5579
592	3643	5572
593	3648	5565
594	3654	5558
595	3660	5551
596	3665	5544
597	3671	5537
598	3676	5530
599	3682	5523
600	3687	5516
601	3693	5509
602	3698	5501
603	3703	5494
604	3709	5487
605	3715	5480
606	3731	5489
607	3737	5483
608	3744	5478
609	3750	5472
610	3759	5470
611	3766	5465
612	3773	5460
613	3779	5453
614	3801	5470
615	3807	5464
616	3814	5458
617	3820	5451
618	3839	5464
619	3846	5459
620	3852	5452
621	3868	5460
622	3875	5456
623	3891	5463
624	3899	5458
625	3905	5452
626	3923	5462
627	3929	5455
628	3943	5461
629	3949	5453
630	3965	5461
631	3971	5454
632	3977	5447
633	3983	5441
634	3989	5435
635	3995	5428
636	4001	5421
637	4008	5415
638	4017	5412
639	4033	5420
640	4039	5413
641	4045	5406
642	4061	5413
643	4068	5407
644	4073	5400
645	4080	5394
646	4086	5387
647	4092	5380
648	4098	5374
649	4104	5366
650	4109	5359
651	4114	5351
652	4120	5344
653	4126	5338
654	4132	5331
655	4137	5323
656	4142	5315
657	4148	5308
658	4153	5300
659	4159	5293
660	4165	5287
661	4170	5279
662	4177	5273
663	4183	5267
664	4189	5260
665	4194	5252
666	4204	5250
667	4209	5243
668	4224	5247
669	4229	5239
670	4245	5245
671	4253	5241
672	4259	5233
673	4264	5226
674	4270	5218
675	4275	5211
676	4280	5203
677	4289	5200
678	4294	5192
679	4300	5185
680	4305	5177
681	4310	5169
682	4315	5162
683	4321	5154
684	4326	5147
685	4331	5139
686	4337	5133
687	4342	5125
688	4348	5118
689	4353	5110
690	4359	5103
691	4364	5095
692	4369	5088
693	4375	5081
694	4389	5084
695	4394	5076
696	4399	5068
697	4404	5061
698	4409	5053
699	4415	5045
700	4419	5037
701	4425	5030
702	4431	5023
703	4436	5016
704	4451	5019
705	4457	5013
706	4463	5006
707	4468	4998
708	4473	4990
709	4478	4983
710	4483	4975
711	4488	4968
712	4493	4960
713	4498	4952
714	4504	4945
715	4509	4937
716	4514	4929
717	4519	4922
718	4524	4914
719	4529	4907
720	4534	4899
721	4540	4892
722	4545	4885
723	4550	4877
724	4556	4870
725	4561	4863
726	4566	4855
727	4572	4848
728	4577	4841
729	4583	4834
730	4587	4826
731	4592	4818
732	4598	4811
733	4603	4804
734	4608	4796
735	4614	4789
736	4628	4791
737	4633	4784
738	4639	4777
739	4644	4770
740	4649	4762
741	4655	4755
742	4660	4748
743	4665	4740
744	4670	4733
745	4676	4726
746	4682	4720
747	4688	4713
748	4693	4706
749	4698	4698
750	4704	4691
751	4709	4683
752	4714	4676
753	4719	4669
754	4724	4662
755	4739	4664
756	4745	4657
757	4750	4650
758	4755	4643
759	4760	4635
760	4766	4628
761	4771	4621
762	4777	4614
763	4781	4606
764	4787	4599
765	4791	4591
766	4797	4584
767	4802	4577
768	4807	4569
769	4813	4563
770	4818	4555
771	4823	4548
772	4828	4541
773	4833	4534
774	4839	4527
775	4844	4519
776	4849	4512
777	4854	4505
778	4859	4498
779	4865	4491
780	4870	4483
781	4875	4476
782	4880	4469
783	4886	4462
784	4891	4455
785	4897	4448
786	4902	4441
787	4908	4435
788	4913	4428
789	4919	4421
790	4924	4414
791	4929	4406
792	4934	4399
793	4939	4392
794	4945	4385
795	4950	4378
796	4955	4370
797	4960	4363
798	4965	4356
799	4970	4349
800	4975	4342
801	4980	4335
802	4986	4328
803	4991	4321
804	4997	4314
805	5002	4307
806	5008	4300
807	5013	4293
808	5018	4286
809	5023	4279
810	5028	4272
811	5034	4265
812	5039	4258
813	5045	4251
814	5050	4244
815	5055	4237
816	5060	4230
817	5066	4223
818	5071	4216
819	5076	4209
820	5081	4203
821	5087	4195
822	5092	4188
823	5097	4181
824	5103	4175
825	5107	4167
826	5113	4161
827	5119	4154
828	5124	4147
829	5130	4141
830	5135	4134
831	5140	4127
832	5146	4120
833	5151	4113
834	5156	4106
835	5162	4100
836	5167	4093
837	5172	4086
838	5178	4079
839	5183	4072
840	5188	4065
841	5194	4059
842	5199	4052
843	5205	4045
844	5210	4038
845	5216	4032
846	5221	4025
847	5227	4019
848	5232	4012
849	5237	4005
850	5243	3998
851	5248	3991
852	5253	3984
853	5259	3978
854	5264	3971
855	5269	3964
856	5274	3957
857	5280	3951
858	5286	3944
859	5291	3938
860	5296	3931
861	5302	3924
862	5307	3917
863	5312	3910
864	5317	3903
865	5322	3896
866	5327	3889
867	5333	3883
868	5337	3875
869	5343	3869
870	5348	3862
871	5353	3855
872	5358	3848
873	5363	3841
874	5368	3834
875	5373	3827
876	5378	3820
877	5383	3814
878	5389	3807
879	5394	3800
880	5399	3793
881	5404	3786
882	5409	3779
883	5414	3773
884	5419	3766
885	5425	3759
886	5430	3753
887	5435	3746
888	5441	3739
889	5446	3732
890	5451	3726
891	5456	3719
892	5461	3712
893	5466	3705
894	5471	3698
895	5476	3691
896	5482	3685
897	5487	3678
898	5492	3671
899	5497	3664
900	5502	3658
901	5507	3651
902	5512	3644
903	5517	3637
904	5522	3631
905	5527	3624
906	5533	3617
907	5538	3610
908	5543	3604
909	5548	3597
910	5553	3590
911	5558	3583
912	5564	3577
913	5569	3570
914	5574	3563
915	5579	3557
916	5584	3550
917	5589	3543
918	5594	3537
919	5599	3530
920	5604	3523
921	5610	3517
922	5615	3510
923	5620	3503
924	5625	3497
925	5630	3490
926	5636	3483
927	5641	3477
928	5646	3470
929	5651	3463
930	5656	3457
931	5661	3450
932	5666	3443
933	5671	3437
934	5676	3430
935	5682	3423
936	5687	3417
937	5692	3410
938	5697	3403
939	5702	3397
940	5707	3390
941	5712	3383
942	5717	3377
943	5722	3370
944	5727	3363
945	5732	3357
946	5737	3350
947	5742	3343
948	5747	3337
949	5752	3330
950	5757	3323
951	5763	3317
952	5768	3310
953	5773	3304
954	5778	3297
955	5783	3291
956	5789	3284
957	5794	3278
958	5798	3271
959	5803	3264
960	5809	3258
961	5814	3251
962	5819	3245
963	5824	3238
964	5829	3231
965	5834	3225
966	5839	3218
967	5845	3212
968	5850	3205
969	5855	3199
970	5860	3192
971	5865	3186
972	5870	3179
973	5875	3173
974	5880	3166
975	5885	3159
976	5890	3153
977	5895	3146
978	5901	3140
979	5906	3133
980	5911	3127
981	5916	3120
982	5921	3114
983	5926	3107
984	5931	3101
985	5936	3094
986	5941	3088
987	5946	3081
988	5950	3074
989	5955	3068
990	5960	3061
991	5966	3055
992	5971	3048
993	5976	3042
994	5981	3035
995	5987	3029
996	5992	3023
997	5997	3016
998	6002	3010
999	6007	3003
1000	6012	2997
1001	6017	2990
1002	6022	2984
1003	6027	2977
1004	6032	2971
1005	6037	2964
1006	6042	2958
1007	6047	2951
1008	6053	2945
1009	6058	2939
1010	6063	2933
1011	6068	2926
1012	6074	2920
1013	6080	2914
1014	6086	2908
1015	6092	2902
1016	6097	2895
1017	6103	2889
1018	6108	2883
1019	6113	2877
1020	6119	2870
1021	6124	2864
1022	6129	2858
1023	6134	2851
1024	6140	2845
1025	6156	2844
1026	6164	2839
1027	6171	2833
1028	6177	2827
1029	6184	2821
1030	6191	2816
1031	6198	2810
1032	6204	2805
1033	6210	2799
1034	6216	2792
1035	6221	2786
1036	6227	2780
1037	6232	2774
1038	6238	2767
1039	6243	2761
